Name,Allegiances,DeathYear,BookofDeath,DeathChapter,BookIntroChapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Jodge,House Lannister,none,none,none,30,1,0,0,1,0,0,0
Jojen Reed,Stark,none,none,none,21,1,1,0,1,1,0,1
Jommy,House Baratheon,none,none,none,0,1,0,0,1,0,0,0
Jon Bettley,Lannister,none,none,none,16,1,1,0,0,0,1,0
Jon Connington,Targaryen,none,none,none,5,1,1,0,0,0,0,1
Jon Fossoway,Baratheon,none,none,none,22,1,1,0,1,0,0,0
Jon Snow,Night's Watch,none,none,none,1,1,1,1,1,1,1,1
Jon Umber (Greatjon),Stark,none,none,none,51,1,1,1,1,1,0,0
Joffrey Baratheon,House Lannister,300,3,60,5,1,1,1,1,1,0,0
Jon Umber (Smalljon),Stark,299,3,51,63,1,1,1,0,1,0,0
Jonelle Cerwyn,Stark,none,none,none,53,0,1,1,0,0,0,0
Jonos Bracken,Tully,none,none,none,28,1,1,1,0,1,0,1
Jorah Mormont,Targaryen,none,none,none,23,1,1,1,1,1,0,1
Jory Cassel,Stark,298,1,35,1,1,1,1,0,0,0,0
Joseran,Greyjoy,none,none,none,11,1,0,0,0,0,1,0
Joseth,House Stark,none,none,none,37,1,0,1,1,0,0,0
Josmyn Peckledon,Lannister,none,none,none,65,1,0,0,1,1,1,1
Joss,none,none,none,none,43,1,0,1,0,0,0,0
Joss Stilwood,Lannister,none,none,none,none,1,0,1,0,0,0,0
Josua Willum,Baratheon,none,none,none,22,1,1,0,1,0,0,0
Jothos Slynt,Lannister,none,none,none,66,1,1,0,0,1,0,0
Joyeuse Erenford,none,none,none,none,28,0,1,1,0,1,0,0
Justin Massey,Baratheon,none,none,none,7,1,1,0,0,0,0,1
Jyck,House Lannister,298,1,31,21,1,0,1,0,0,0,0
Jynessa Blackmont,Martell,none,none,none,38,0,1,0,0,1,0,0
Karyl Vance,Tully,none,none,none,43,1,1,1,0,1,1,0
Kedge Whiteye,Night's Watch,none,none,none,43,1,0,0,1,1,1,0
Kella,none,none,none,none,68,0,0,0,0,1,0,0
Kennos of Kayce,Lannister,none,none,none,6,1,1,0,0,1,1,1
Ketter,Night's Watch,none,none,none,52,1,0,1,0,0,0,0
Kenned,House Greyjoy,299,2,66,66,1,0,0,1,0,0,0
Kerwin,House Tyrell,300,5,56,29,1,0,0,0,0,1,1
Kevan Lannister,House Lannister,300,5,none,56,1,1,1,1,1,1,1
Kezmya,none,none,none,none,2,0,1,0,0,0,0,1
Khorane Sathmantes,none,none,none,none,10,1,0,0,0,1,0,0
Khrazz,none,300,5,67,11,1,0,0,0,0,0,1
Kindly man,none,none,none,none,6,1,0,0,0,0,1,1
Kojja Mo,none,none,none,none,35,0,0,0,0,0,1,0
Koss,Night's Watch,299,2,14,5,1,0,0,1,0,0,0
Kraznys mo Nakloz,none,299,3,27,23,1,1,0,0,1,0,0
Kromm,House Greyjoy,299,2,66,56,1,0,0,1,0,0,0
Kurleket,none,298,1,31,31,1,0,1,0,0,0,0
Kurz,Night's Watch,299,2,19,5,1,0,0,1,0,0,0
Kyle (Banners),none,299,3,39,39,1,0,0,0,1,0,0
Kyra,House Stark,300,5,12,37,0,0,1,1,0,0,1
Lady of the Leaves,none,none,none,none,22,0,0,0,0,1,0,0
Lambert Turnberry,Lannister,none,none,none,7,1,1,0,0,0,1,0
Lamprey,Baratheon,none,none,none,25,1,0,0,0,1,0,0
Lancel Lannister,Lannister,none,none,none,47,1,1,1,1,1,1,1
Lanna (Happy Port),none,none,none,none,34,0,0,0,0,0,1,0
Lark,Night's Watch,299,3,46,23,1,0,0,1,1,0,0
Larra Blackmont,Martell,none,none,none,38,0,1,0,0,1,0,0
Larraq,Targaryen,none,none,none,59,1,0,0,0,0,0,1
Leathers,Night's Watch,none,none,none,35,1,0,0,0,0,0,1
Left Hand Lew,Night's Watch,none,none,none,48,1,0,0,0,1,0,1
Lem,none,none,none,none,13,1,0,0,0,1,1,0
Lennocks,none,none,none,34,34,1,0,0,0,1,0,0
Lenwood Tawney,Greyjoy,none,none,none,18,1,0,0,0,0,1,0
Leo Lefford,Lannister,299,2,45,62,1,1,1,1,0,0,0
Leo Tyrell,Tyrell,none,none,none,0,1,1,0,0,0,1,0
Leobald Tallhart,Stark,299,2,66,16,1,1,0,1,0,0,0
Leona Woolfield,Stark,none,none,none,19,0,1,0,0,0,0,1
Leonette Fossoway,Tyrell,none,none,none,6,0,1,0,0,1,0,0
Lew,House Stark,none,none,none,7,1,0,1,0,0,0,0
Lewis Lanster,none,none,none,none,25,1,0,0,0,0,0,1
Lewys Lydden,Lannister,none,none,none,62,1,1,1,1,0,0,0
Lewys Piper,Lannister,none,none,none,27,1,1,0,0,0,1,0
Lharys,Stark,298,1,34,31,1,1,1,0,0,0,0
Little Walder Frey,none,300,5,51,59,1,1,1,1,0,0,1
Lollys Stokeworth,Lannister,none,none,none,2,0,1,0,1,1,0,0
Lommy,Night's Watch,299,2,19,1,1,0,0,1,0,0,0
Loras Tyrell,Tyrell,none,none,none,18,1,1,1,1,1,1,0
Lorcas,none,none,none,none,45,1,0,0,0,0,1,0
Lord of Bones,Wildling,300,5,10,68,1,1,0,1,1,0,1
Lorent Caswell,Baratheon,none,none,none,22,1,1,0,1,0,0,0
Lorren,Greyjoy,299,2,66,37,1,0,0,1,0,0,0
Lothar Frey,none,none,none,none,35,1,1,0,0,1,0,0
Lothor Brune,none,none,none,none,29,1,1,1,1,1,1,0
Lucan,none,299,2,64,38,1,0,0,1,0,0,0
Lucas Blackwood,Tully,299,3,51,22,1,1,0,1,1,0,0
Lucas Codd,Greyjoy,none,none,none,11,1,1,0,0,0,1,0
Lucias Vypren,none,none,none,none,49,1,1,0,0,1,0,0
Luco Prestayn,none,none,none,none,22,1,0,0,0,0,1,0
Luke of Longtown,Night's Watch,none,none,none,35,1,0,0,0,0,0,1
Luton,none,300,5,51,37,1,0,0,0,0,0,1
Luwin,House Stark,299,2,69,14,1,0,1,1,0,0,0
Lyle Crakehall,Lannister,none,none,none,12,1,1,0,0,0,1,0
Lyman Darry,Tully,299,3,7,71,1,1,1,1,0,0,0
Lymond Goodbrook,Tully,none,none,none,45,1,1,0,0,1,0,0
Lymond Lychester,Tully,none,none,none,22,1,1,0,0,1,0,0
Lyn Corbray,Arryn,none,none,none,38,1,1,1,0,0,1,0
Lyonel,none,none,none,none,38,1,0,0,1,0,0,0
Lysa Tully,House Arryn,300,3,none,34,0,1,1,0,1,0,0
Lysono Maar,none,none,none,none,24,1,0,0,0,0,0,1
Mace Tyrell,House Tyrell,none,none,none,62,1,1,0,1,1,1,1
Mad Huntsman,none,none,none,none,29,1,0,0,0,1,0,0
Maege Mormont,Stark,none,none,none,53,0,1,1,0,1,0,0
Maerie (Goodwife),none,299,3,34,34,0,0,0,0,1,0,0
Maerie (Whore),none,299,3,34,34,0,0,0,0,1,0,0
Mag Mar Tun Doh Weg,Wildling,300,3,64,15,1,1,0,0,1,0,0
Mago,none,none,none,none,61,1,0,1,0,0,0,0
Mallador Locke,Night's Watch,299,5,18,13,1,0,0,1,1,0,0
Malliard,Lannister,none,none,none,20,1,0,0,1,0,0,0
Mallor,House Lannister,none,none,none,63,1,0,1,0,0,0,0
Mance Rayder,Wildling,none,none,none,15,1,1,0,0,1,0,1
Mandon Moore,Baratheon,299,2,61,51,1,1,1,1,0,0,0
Maric Seaworth,House Baratheon,299,2,58,10,1,1,0,1,0,0,0
Marei,none,none,none,none,29,0,0,0,1,0,0,0
Margaery Tyrell,House Tyrell,none,none,none,22,0,1,0,1,1,1,0
Marillion,Arryn,300,4,23,28,1,0,1,0,1,1,0
Maris,Wildling,none,none,none,58,0,0,0,0,0,0,1
Marissa Frey,none,none,none,none,49,0,1,0,0,1,1,0
Mariya Darry,none,none,none,none,30,0,1,0,0,0,1,0
Mark Mullendore,Tully,none,none,none,22,1,1,0,1,0,0,0
Marlon Manderly,Stark,none,none,none,19,1,1,0,0,0,0,1
Maron Volmark,Greyjoy,none,none,none,18,1,1,0,0,0,1,0
Marq Piper,Tully,none,none,none,56,1,1,1,0,1,0,0
Martyn Rivers,none,none,none,none,29,1,1,1,1,1,0,0
Marwyn,none,none,none,none,0,1,0,0,0,0,1,0
Marwyn Belmore,Arryn,none,none,none,10,1,1,0,0,0,1,0
Masha Heddle,Tully,298,1,56,28,0,0,1,0,0,0,0
Maslyn,Night's Watch,299,3,18,0,1,0,0,0,1,0,0
Mathis Rowan,Lannister,none,none,none,22,1,1,0,1,1,1,0
Mathos Mallarawan,none,none,none,none,40,1,1,0,1,0,0,0
Matrice,Baratheon,none,none,none,0,0,0,0,1,0,0,0
Matthos Seaworth,Baratheon,299,2,58,10,1,1,0,1,0,0,0
Matthar,Night's Watch,none,none,none,41,1,0,1,0,0,0,0
Mawney,Night's Watch,300,5,4,18,1,0,0,0,1,0,1
Mebble,none,none,none,none,47,1,0,0,1,0,0,0
Medger Cerwyn,Stark,299,2,30,53,1,1,1,1,0,0,0
Meera Reed,Stark,none,none,none,21,0,1,0,1,1,0,1
Megga Tyrell,House Tyrell,none,none,none,6,0,1,0,0,1,1,0
Meha,Wildling,none,none,none,0,0,0,0,0,0,0,1
Mela,House Arryn,none,none,none,23,0,0,0,0,0,1,0
Meldred Merlyn,Greyjoy,none,none,none,1,1,1,0,0,0,1,0
Meliana,Stark,none,none,none,69,0,0,0,0,1,0,0
Melisandre,Baratheon,none,none,none,0,0,0,0,1,1,0,1
Mellei,House Martell,none,none,none,40,0,0,0,0,0,1,0
Melly,none,none,none,none,34,0,0,0,0,1,0,0
Meredyth Crane,Tyrell,none,none,none,61,0,1,0,0,1,1,0
Meribald,none,none,none,none,25,1,0,0,0,0,1,0
Merlon Crakehall,Lannister,none,none,none,38,1,1,0,0,1,0,0
Mero,none,299,3,57,42,1,0,0,0,1,0,0
Merrett Frey,none,300,3,none,59,1,1,1,0,1,0,0
Meryn Trant,Lannister,none,none,none,8,1,1,1,1,1,1,1
Mezzara,none,none,none,none,2,0,1,0,0,0,0,1
Mikken,House Stark,299,2,46,8,1,0,1,1,0,0,0
Miklaz,none,none,none,none,2,1,1,0,0,0,0,1
Mirri Maz Duur,none,299,1,72,61,0,0,1,0,0,0,0
Missandei,House Targaryen,none,none,none,23,0,0,0,0,1,0,1
Mohor,none,298,1,31,31,1,1,1,0,0,0,0
Mollander,none,none,none,none,0,1,0,0,0,0,1,0
Monford Velaryon,Baratheon,299,3,25,0,1,1,0,1,0,0,0
Monster,Wildling,none,none,none,33,1,0,0,0,1,1,1
Moon Boy,Baratheon,none,none,none,29,1,0,1,1,1,1,0
Moqorro,Greyjoy,none,none,none,33,1,0,0,0,0,0,1
Mord,House Arryn,none,none,none,38,1,0,1,0,0,1,0
Mordane,House Stark,298,1,67,7,0,0,1,0,0,0,0
Moreo Tumitis,none,none,none,none,18,1,0,1,0,0,0,0
Morgarth,none,none,none,none,41,1,0,0,0,0,1,0
Morna White Mask,Wildling,none,none,none,48,0,1,0,0,0,0,1
Moro,none,none,none,none,3,1,1,1,0,0,0,0
Morra,House Martell,none,none,none,40,0,0,0,0,0,1,0
Morrec,House Lannister,298,1,31,13,1,0,1,0,0,0,0
Morros Slynt,Lannister,none,none,none,2,1,1,0,1,1,0,0
Mors Manwoody,Martell,none,none,none,38,1,1,0,0,1,0,0
Mors Umber,Stark,none,none,none,21,1,1,0,1,0,0,0
Morton Waynwood,Arryn,none,none,none,40,1,1,1,0,0,0,0
Mudge (miller),none,299,3,34,34,1,0,0,0,1,0,0
Mully,Night's Watch,none,none,none,55,1,0,0,0,1,1,1
Munciter,Lannister,none,none,none,20,1,0,0,1,0,0,0
Murch,Night's Watch,none,none,none,9,1,0,0,1,0,0,0
Murch (Winterfell),House Stark,none,none,none,50,1,0,0,1,0,0,0
Mossador,House Targaryen,300,5,11,11,1,0,0,0,1,0,1
Murenmure,Greyjoy,none,none,none,1,1,0,0,0,0,1,0
Muttering Bill,Night's Watch,300,5,4,none,1,0,0,0,1,0,1
Mya Stone,Arryn,none,none,none,34,0,0,1,0,0,1,0
Mycah,Stark,298,1,16,15,1,0,1,0,0,0,0
Myles,House Martell,none,none,none,2,1,0,0,0,0,1,1
Myles Manwoody,Martell,none,none,none,38,1,1,0,0,1,0,0
Myranda Royce,Arryn,none,none,none,41,0,1,0,0,0,1,0
Myrcella Baratheon,Lannister,none,none,none,5,0,1,1,1,0,1,0
Myria Jordayne,Martell,none,none,none,38,0,0,0,0,1,0,1
Myrtle,Wildling,300,5,69,37,0,0,0,0,0,0,1
Nage,none,none,none,none,44,1,0,0,0,1,0,0
Myles,House Tully,299,2,39,39,1,0,0,1,0,0,0
Nan,House Stark,none,none,none,1,0,0,1,1,0,0,0
Narbert,none,none,none,none,31,1,0,0,0,0,1,0
Nestor Royce,Arryn,none,none,none,34,1,1,1,0,0,1,0
Nolla,none,299,3,34,34,0,0,0,0,1,0,0
Norjen,Greyjoy,none,none,none,1,1,0,0,0,0,1,0
Nurse,none,300,5,57,57,1,0,0,0,0,0,1
Notch,none,none,none,none,43,1,0,0,0,1,0,0
Nute,House Greyjoy,none,none,none,18,1,0,0,0,0,1,0
Nymella Toland,Martell,none,none,none,38,0,1,0,0,0,0,1
Nymeria Sand,House Martell,none,none,none,2,0,1,0,0,0,1,1
Obara Sand,House Martell,none,none,none,2,0,1,0,0,0,1,1
Oberyn Martell,House Martell,300,3,70,38,1,1,0,0,1,0,0
Ogo,none,298,1,61,46,1,1,1,0,0,0,0
Old Henly,Night's Watch,299,3,55,55,1,0,0,0,1,0,0
Olenna Redwyne,Tyrell,none,none,none,19,0,1,0,0,1,1,0
Ollo Lophand,Night's Watch,300,5,4,0,1,0,0,0,1,0,1
Olyvar Frey,none,none,none,none,59,1,1,1,0,0,0,0
Ondrew Locke,Stark,none,none,none,37,1,1,0,0,0,0,1
Oppo,none,300,4,17,60,1,0,0,0,1,1,0
Orell,Wildling,299,2,51,51,1,0,0,1,0,0,0
Orphan Oss,Night's Watch,300,5,4,none,1,0,0,0,1,0,1
Orton Merryweather,Lannister,none,none,none,11,1,1,0,0,1,1,0
Osfryd Kettleblack,Lannister,none,none,none,41,1,1,0,1,1,1,0
Osha,House Stark,none,none,none,37,0,0,1,1,0,0,0
Osmund Kettleblack,Lannister,none,none,none,41,1,1,0,1,1,1,0
Osney Kettleblack,Lannister,none,none,none,41,1,1,0,1,1,1,0
Ossy,Arryn,none,none,none,41,1,0,0,0,0,1,0
Oswell Kettleblack,none,none,none,none,68,1,1,0,0,1,0,0
Othell Yarwyck,Night's Watch,none,none,none,48,1,0,1,0,1,0,1
Ottyn Wythers,Night's Watch,299,3,48,13,1,0,0,1,1,0,0
Owen,Night's Watch,none,none,none,55,1,0,0,0,1,0,1
Owen Norrey,Tully,299,3,51,51,1,1,0,0,1,0,0
Oznak zo Pahl,none,299,3,57,57,1,1,0,0,1,0,0
Palla,House Stark,none,none,none,46,0,0,0,1,0,0,0
Parmen Crane,Baratheon,none,none,none,22,1,1,0,1,0,0,0
Patchface,Baratheon,none,none,none,0,1,0,0,1,1,0,1
Pate (novice),none,300,4,0,0,1,0,0,0,0,1,0
Pate (Lancewood),none,299,3,34,34,1,0,0,0,1,0,0
Pate (Night's Watch),Night's Watch,none,none,none,60,1,0,1,0,0,0,0
Pate (Old),none,none,none,34,13,1,0,0,0,1,0,0
Patrek of King's Mountain,Baratheon,300,5,69,44,1,1,0,0,0,0,1
Patrek Mallister,Tully,none,none,none,28,1,1,1,0,1,0,0
Paxter Redwyne,Tyrell,none,none,none,65,1,1,0,1,1,1,0
Pello,none,none,none,none,17,1,0,0,0,1,0,0
Penny,none,none,none,none,60,0,0,0,0,1,0,1
Perros Blackmont,Martell,none,none,none,38,1,1,0,0,1,0,0
Perwyn Frey,none,none,none,none,29,1,1,1,1,0,0,0
Petyr Baelish,none,none,none,none,18,1,0,1,1,1,1,0
Petyr Frey,none,300,3,none,49,1,1,0,0,1,0,0
Philip Foote,Lannister,none,none,none,65,1,1,0,1,1,0,0
Pia,none,none,none,none,30,0,0,0,1,0,1,0
Podrick Payne,Lannister,none,none,none,62,1,1,1,1,1,1,0
Polliver,none,300,3,27,26,1,0,0,1,1,0,0
Pono,none,none,none,none,68,1,1,1,0,0,0,0
Porridge,Baratheon,none,none,none,25,1,0,0,0,1,0,0
Porther,House Stark,299,2,21,22,1,0,1,1,0,0,0
Poul Pemford,House Tully,299,2,39,39,1,0,0,1,0,0,0
Poxy Tym,House Stark,299,2,69,16,1,0,0,1,0,0,0
Praed,none,299,2,9,5,1,0,0,1,0,0,0
Prendahl na Ghezn,none,299,3,42,42,1,0,0,0,1,0,0
Preston Greenfield,Baratheon,299,2,41,43,1,0,1,1,0,0,0
Pyat Pree,none,none,none,none,12,1,1,0,1,0,0,0
Pycelle,House Lannister,300,5,none,20,1,0,1,1,1,1,1
Pyg,none,300,4,20,20,1,0,0,0,1,1,0
Pylos,Baratheon,none,none,none,0,1,0,0,1,1,0,0
Pypar,Night's Watch,none,none,none,19,1,0,1,0,1,1,1
Qarl Shepherd,Greyjoy,none,none,none,26,1,0,0,0,0,0,1
Qarl the Maid,Greyjoy,none,none,none,42,1,0,0,1,0,1,1
Qezza,none,none,none,none,2,0,0,0,0,0,0,1
Qhorin Halfhand,Night's Watch,299,2,68,43,1,0,0,1,0,0,0
Qotho,none,298,1,61,11,1,0,1,0,0,0,0
Quaithe,none,none,none,none,12,0,1,0,1,1,0,1
Quaro,Targaryen,298,1,64,50,1,0,1,0,0,0,0
Quellon Humble,Greyjoy,none,none,none,18,1,1,0,0,0,1,0
Quent,House Stark,none,none,none,37,1,0,1,0,0,0,0
Quenten Banefort,Lannister,none,none,none,16,1,1,0,0,0,1,0
Quentyn Martell,Martell,300,5,70,6,1,1,0,0,0,0,1
Quhuru Mo,none,none,none,none,27,1,0,0,1,0,1,0
Qyburn,Lannister,none,none,none,64,1,0,0,1,1,1,1
Quort,Wildling,299,3,55,41,1,0,0,0,1,0,0
Qyle,Night's Watch,299,2,2,2,1,0,0,1,0,0,0
Rafford,none,none,none,none,19,1,0,0,1,0,1,0
Ragnor Pyke,House Greyjoy,none,none,none,29,1,0,0,0,0,1,0
Ragwyle,Wildling,none,none,none,68,0,0,0,1,0,0,0
Rakharo,House Targaryen,none,none,none,54,1,0,1,1,1,0,1
Ralf Kenning,Greyjoy,300,5,20,18,1,0,0,0,0,1,1
Ralf Stonehouse,Greyjoy,none,none,none,18,1,1,0,0,0,0,1
Ralf the Limper,Greyjoy,none,none,none,18,1,0,0,0,0,1,1
Ramsay Snow,none,none,none,none,16,1,1,0,1,0,0,1
Randa,none,299,3,34,34,0,0,0,0,1,0,0
Randyll Tarly,Tyrell,none,none,none,22,1,1,0,1,0,1,1
Rast,Night's Watch,299,3,26,55,1,0,1,0,1,0,0
Ravella Swann,Tully,none,none,none,22,0,1,0,0,1,0,0
Raymar Royce,Arryn,none,none,none,45,1,1,0,0,1,0,0
Raymun Darry,Targaryen,298,1,55,16,1,1,1,0,0,0,0
Raymund Frey,none,none,none,none,49,1,1,0,0,1,0,0
Raynald Westerling,Stark,299,3,44,14,1,1,0,0,1,1,0
Red Alyn,Night's Watch,300,3,69,55,1,0,0,0,1,0,0
Red Rolfe,House Greyjoy,299,2,66,66,1,0,0,1,0,0,0
Reek,none,299,2,35,16,1,0,0,1,0,0,0
Renly Baratheon,House Baratheon,299,2,33,15,1,1,1,1,0,0,0
Reysen,Night's Watch,none,none,none,5,1,0,0,1,0,0,0
Reznak mo Reznak,none,none,none,none,2,1,1,0,0,0,0,1
Rhaegar Frey,none,300,5,29,19,1,1,0,0,0,0,1
Rhogoro,none,none,none,none,3,1,1,1,0,0,0,0
Ricasso,House Martell,none,none,none,2,1,0,0,0,0,1,1
Richard Horpe,Baratheon,none,none,none,17,1,1,0,0,0,0,1
Rickard Karstark,Stark,299,3,20,53,1,1,1,1,1,0,0
Rickard Ryswell,Stark,none,none,none,20,1,1,0,0,0,0,1
Rickon Stark,House Stark,none,none,none,7,1,1,1,1,0,0,0
Rigney,none,none,none,none,11,1,0,0,0,0,1,0
Robar Royce,Baratheon,299,2,6,29,1,1,1,1,1,0,0
Robb Stark,House Stark,299,3,51,1,1,1,1,1,1,0,0
Robert Baratheon,House Baratheon,298,1,47,4,1,1,1,0,0,0,0
Robert Arryn,House Arryn,none,none,none,40,1,1,1,0,1,1,0
Robett Glover,Stark,none,none,none,53,1,1,1,1,0,0,1
Robin Flint,Stark,299,3,51,63,1,1,1,1,1,0,0
Robin Moreland,Lannister,none,none,none,16,1,1,0,0,0,1,0
Robin Ryger,Tully,none,none,none,7,1,1,0,1,1,1,0
Rodrik Cassel,Stark,299,2,66,7,1,1,1,1,0,0,0
Rodrik Harlaw,Greyjoy,none,none,none,11,1,1,0,0,0,1,0
Rodrik Ryswell,none,none,none,none,32,1,1,0,0,0,0,1
Roger Hogg,Lannister,none,none,none,27,1,1,0,0,0,1,0
Roger Ryswell,Stark,none,none,none,20,1,1,0,0,0,0,1
Roland Crakehall (Lord),Lannister,none,none,none,32,1,1,0,1,0,0,0
Rolder,House Lannister,none,none,none,21,1,0,0,0,0,1,0
Rolfe,Greyjoy,none,none,none,24,1,0,0,1,0,0,0
Rollam Westerling,Stark,none,none,none,14,1,1,0,0,1,0,0
Rolfe the Dwarf,House Greyjoy,300,5,26,26,1,0,0,0,0,0,1
Rolley,Night's Watch,299,3,33,0,1,0,0,0,1,0,0
Rolly Duckfield,Targaryen,none,none,none,8,1,0,0,0,0,0,1
Rolph Spicer,Lannister,none,none,none,14,1,1,0,0,1,0,0
Romny Weaver,Greyjoy,none,none,none,18,1,1,0,0,0,1,0
Ronald Storm,none,none,none,none,61,1,0,0,0,0,0,1
Ronnel Harclay,Night's Watch,none,none,none,48,1,1,0,0,1,0,0
Ronnet Connington,Baratheon,none,none,none,22,1,1,0,1,0,1,1
Roose Bolton,Stark,none,none,none,33,1,1,1,1,1,0,1
Roose Ryswell,none,none,none,none,32,1,1,0,0,0,0,1
Rorge,none,300,4,37,1,1,0,0,1,1,1,0
Roslin Frey,none,none,none,none,35,0,1,0,0,1,0,0
Rowan,Wildling,300,5,69,37,1,0,0,0,0,0,1
Rudge,Night's Watch,none,none,none,60,1,0,1,0,0,0,0
Rusty Flowers,Night's Watch,none,none,none,7,1,0,0,0,0,0,1
Ryger Rivers,none,none,none,none,59,1,0,1,0,0,0,0
Ryk,Wildling,none,none,none,7,1,0,0,0,1,0,0
Rupert Brax,House Lannister,299,2,32,32,1,0,0,1,0,0,0
Ryman Frey,none,300,4,44,14,1,1,0,0,1,1,0
Rymolf Stormdrunk,House Greyjoy,none,none,none,24,1,0,0,1,0,0,0
Ryon Allyrion,Martell,none,none,none,38,1,1,0,0,1,0,1
Salladhor Saan,Baratheon,none,none,none,0,1,1,0,1,1,0,0
Sallor,none,299,3,42,42,1,0,0,0,1,0,0
Samwell Tarly,Night's Watch,none,none,none,70,1,1,1,1,1,1,1
Sandor Clegane,none,300,4,31,7,1,1,1,1,1,1,0
Sawane Botley,Greyjoy,299,4,18,1,1,1,0,0,0,1,0
Sansa Stark,Stark,none,none,none,7,0,1,1,1,1,1,0
Sarella Sand,House Martell,none,none,none,2,0,0,0,0,0,1,0
Sarra Frey,none,none,none,none,49,0,1,0,0,1,0,0
Satin,Night's Watch,none,none,none,6,1,0,0,1,1,0,1
Sawwood,Night's Watch,none,none,none,0,1,0,0,0,1,0,0
Sedgekins,none,none,none,none,50,1,0,0,0,1,0,0
Selyse Florent,Baratheon,none,none,none,0,0,1,0,1,1,0,1
Senelle,House Lannister,300,4,24,3,0,0,0,0,0,1,0
Serra Frey,none,none,none,none,49,0,1,0,0,1,0,0
Shadrich,none,none,none,none,4,1,0,0,0,0,1,0
Shae,Lannister,300,3,77,62,0,0,1,1,1,0,0
Shagga,Lannister,none,none,none,39,1,0,1,1,0,0,0
Shagwell,none,300,4,20,30,1,0,0,1,1,1,0
Sharna,none,none,none,none,11,0,0,0,0,1,0,0
Shireen Baratheon,Baratheon,none,none,none,0,0,1,0,1,1,0,1
Shirei Frey,none,none,none,none,49,0,1,0,0,1,0,0
Shyra Errol,Baratheon,300,4,none,42,0,1,0,1,0,0,0
Sigfry Stonetree,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Skahaz mo Kandaq,none,none,none,none,2,1,1,0,0,0,0,1
Skinner,none,none,none,none,12,1,0,0,0,0,0,1
Small Paul,Night's Watch,299,3,18,0,1,0,0,0,1,0,0
Softfoot,Night's Watch,299,3,18,0,1,0,0,0,1,0,0
Sour Alyn,none,none,none,none,12,1,0,0,0,0,0,1
Spare Boot,Night's Watch,none,none,none,55,1,0,0,0,1,0,0
Spotted Cat,none,none,none,none,11,1,0,0,0,0,0,1
Spotted Pate of Maidenpool,Night's Watch,299,3,55,0,1,0,0,0,1,0,0
Squint,House Greyjoy,299,2,50,50,1,0,0,1,0,0,0
Squirrel,Wildling,300,5,69,37,0,0,0,0,0,0,1
Stalwart Shield,Targaryen,300,5,2,2,1,0,0,0,0,0,1
Steelskin,none,none,none,none,11,1,0,0,0,0,0,1
Steffon Swyft,Lannister,none,none,none,27,1,1,0,0,0,1,0
Stevron Frey,Stark,299,2,35,59,1,1,1,1,0,0,0
Stiv,Wildling,298,1,37,37,1,0,1,0,0,0,0
Stone Thumbs,Wildling,299,3,55,41,1,0,0,0,1,0,0
Stonesnake,Night's Watch,none,none,none,43,1,0,0,1,0,0,0
Stygg,House Greyjoy,none,none,none,37,1,0,0,1,0,0,0
Styr,Wildling,300,3,26,7,1,1,0,0,1,0,0
Sybassion,none,none,none,none,63,1,0,0,1,0,0,0
Sybell Spicer,Lannister,none,none,none,14,0,1,0,0,1,1,0
Sybelle Glover,Stark,none,none,none,26,0,1,0,0,0,0,1
Sylva Santagar,Martell,none,none,none,21,0,1,0,0,0,1,0
Symon Silver Tongue,Lannister,299,3,32,44,1,0,0,1,1,0,0
Symon Stripeback,Targaryen,none,none,none,70,1,0,0,0,0,0,1
Symond Frey,none,300,5,29,19,1,1,0,0,0,0,1
Symond Templeton,Arryn,none,none,none,10,1,1,0,0,0,1,0
Syrio Forel,House Stark,298,1,50,22,1,0,1,0,0,0,0
Taena of Myr,Lannister,none,none,none,6,0,1,0,0,1,1,0
Tal Toraq,Targaryen,none,none,none,70,1,0,0,0,0,0,1
Tallad,Lannister,none,none,none,17,1,0,0,1,1,1,0
Tanda Stokeworth,Lannister,300,4,32,2,0,1,0,1,1,0,0
Tanton Fossoway,Baratheon,none,none,none,22,1,1,0,1,0,0,0
Ternesio Terys,none,none,none,none,74,1,0,0,0,1,0,0
Terrance Lynderly,Arryn,none,none,none,41,1,1,0,0,0,1,0
The Red Lamb,House Targaryen,none,none,none,67,1,0,0,0,0,0,1
Theo Frey,none,none,none,none,29,1,1,1,0,0,0,0
Theodan Wells,Stark,none,none,none,43,1,1,0,0,0,1,1
Theomore Lannister,none,none,none,none,19,1,1,0,0,0,0,1
Theon Greyjoy,House Greyjoy,none,none,none,1,1,1,1,1,0,0,1
Thistle,Wildling,300,5,0,0,0,0,0,0,0,0,1
Thoren Smallwood,Night's Watch,299,3,18,6,1,1,0,1,1,0,0
Thoros,none,none,none,none,29,1,0,1,0,1,1,0
Three Toes,none,none,none,none,44,1,0,0,0,1,0,0
Three-Tooth,Greyjoy,none,none,none,11,0,0,0,0,0,1,0
Tickler,Lannister,300,3,74,26,1,0,0,1,1,0,0
Tim Tangletongue,Night's Watch,none,none,none,69,1,0,0,0,1,0,0
Timeon,none,300,4,20,21,1,0,0,0,1,1,0
Timett,Lannister,none,none,none,56,1,0,1,1,0,0,0
Timon,Baratheon,none,none,none,65,1,0,0,1,0,0,0
